seed,tag,bits,p,mem_frac,id_acc,ood_acc
2,loghd_k3_n4,2,0.2,0.3337,0.0833333358168602,0.0833333358168602
2,loghd_k3_n4,2,0.3,0.3337,0.0833333358168602,0.0833333358168602
2,loghd_k3_n4,2,0.5,0.3337,0.1066666692495346,0.10361111412445705
2,loghd_k3_n4,4,0.0,0.3337,0.7266666889190674,0.2958333343267441
2,loghd_k3_n4,4,0.05,0.3337,0.3516666889190674,0.15805555880069733
2,loghd_k3_n4,4,0.1,0.3337,0.13083334267139435,0.10055555899937947
2,loghd_k3_n4,4,0.2,0.3337,0.07250000536441803,0.07750000059604645
2,loghd_k3_n4,4,0.3,0.3337,0.02666666731238365,0.04500000116725763
2,loghd_k3_n4,4,0.5,0.3337,0.0833333358168602,0.0833333358168602
2,loghd_k3_n4,8,0.0,0.3337,0.7266666889190674,0.2958333343267441
2,loghd_k3_n4,8,0.05,0.3337,0.5533333420753479,0.21527778108914694
2,loghd_k3_n4,8,0.1,0.3337,0.2291666716337204,0.08777778098980586
2,loghd_k3_n4,8,0.2,0.3337,0.0833333358168602,0.0733333354194959
2,loghd_k3_n4,8,0.3,0.3337,0.07666666805744171,0.07111111283302307
2,loghd_k3_n4,8,0.5,0.3337,0.07083333283662796,0.07277777791023254
2,feataxis_k3_n4,2,0.0,0.3337,1.0,0.8177778124809265
2,feataxis_k3_n4,2,0.05,0.3337,1.0,0.7861111362775167
2,feataxis_k3_n4,2,0.1,0.3337,0.9975000023841858,0.784166693687439
2,feataxis_k3_n4,2,0.2,0.3337,0.9850000143051147,0.7344444592793783
2,feataxis_k3_n4,2,0.3,0.3337,0.9358333349227905,0.6963889201482137
2,feataxis_k3_n4,2,0.5,0.3337,0.05833333358168602,0.08444444586833318
2,feataxis_k3_n4,4,0.0,0.3337,1.0,0.8177778124809265
2,feataxis_k3_n4,4,0.05,0.3337,0.9991666674613953,0.8038888971010844
2,feataxis_k3_n4,4,0.1,0.3337,1.0,0.7963889042536417
2,feataxis_k3_n4,4,0.2,0.3337,0.9991666674613953,0.762500007947286
2,feataxis_k3_n4,4,0.3,0.3337,0.9925000071525574,0.7391666769981384
2,feataxis_k3_n4,4,0.5,0.3337,0.06916666775941849,0.06527777885397275
2,feataxis_k3_n4,8,0.0,0.3337,1.0,0.8177778124809265
2,feataxis_k3_n4,8,0.05,0.3337,1.0,0.8102777997652689
2,feataxis_k3_n4,8,0.1,0.3337,0.9983333349227905,0.8063889145851135
2,feataxis_k3_n4,8,0.2,0.3337,0.9983333349227905,0.818333367506663
2,feataxis_k3_n4,8,0.3,0.3337,0.9916666746139526,0.7950000166893005
2,feataxis_k3_n4,8,0.5,0.3337,0.061666667461395264,0.07611111551523209
2,hybrid_k2_n5,2,0.0,0.2088,0.7141667008399963,0.3141666700442632
2,hybrid_k2_n5,2,0.05,0.2088,0.0833333358168602,0.0833333358168602
2,hybrid_k2_n5,2,0.1,0.2088,0.0833333358168602,0.0833333358168602
2,hybrid_k2_n5,2,0.2,0.2088,0.0949999988079071,0.09055555611848831
2,hybrid_k2_n5,2,0.3,0.2088,0.10249999910593033,0.0919444461663564
2,hybrid_k2_n5,2,0.5,0.2088,0.0833333358168602,0.0833333358168602
2,hybrid_k2_n5,4,0.0,0.2088,0.7141667008399963,0.3141666700442632
2,hybrid_k2_n5,4,0.05,0.2088,0.3608333468437195,0.15305555860201517
2,hybrid_k2_n5,4,0.1,0.2088,0.10750000178813934,0.0833333358168602
2,hybrid_k2_n5,4,0.2,0.2088,0.0833333358168602,0.0833333358168602
2,hybrid_k2_n5,4,0.3,0.2088,0.0833333358168602,0.08305555830399196
2,hybrid_k2_n5,4,0.5,0.2088,0.07833333313465118,0.07444444795449574
2,hybrid_k2_n5,8,0.0,0.2088,0.7141667008399963,0.3141666700442632
2,hybrid_k2_n5,8,0.05,0.2088,0.3008333444595337,0.16583333909511566
